epoch,accuracy,loss,val_accuracy,val_loss
0,0.35953500866889954,1.3305262327194214,0.44092220067977905,1.295746088027954
1,0.6219208240509033,1.0096932649612427,0.6340057849884033,0.980023980140686
2,0.7946305274963379,0.59720379114151,0.6772334575653076,0.8193569779396057
3,0.84721839427948,0.42519524693489075,0.6887608170509338,0.8096957206726074
4,0.8779407739639282,0.3409195840358734,0.6829971075057983,0.8587275147438049
5,0.9020204544067383,0.27589505910873413,0.680115282535553,0.8856966495513916
6,0.9255466461181641,0.22763244807720184,0.6945244669914246,0.9753595590591431
7,0.9393855333328247,0.19002468883991241,0.6714697480201721,0.9713325500488281
8,0.9496263265609741,0.15844188630580902,0.6887608170509338,1.07960045337677
9,0.9573761224746704,0.1408543437719345,0.6772334575653076,1.1085482835769653
10,0.9642956256866455,0.12577073276042938,0.6657060384750366,1.1581387519836426
11,0.9656794667243958,0.11002140492200851,0.6685879230499268,1.2007577419281006
12,0.9709382653236389,0.10198351740837097,0.680115282535553,1.258373498916626
13,0.9709382653236389,0.09309807419776917,0.680115282535553,1.3108575344085693
14,0.9748131632804871,0.08659721165895462,0.6685879230499268,1.3232700824737549
15,0.9717686176300049,0.08961286395788193,0.680115282535553,1.4009931087493896
16,0.973429262638092,0.0852300226688385,0.6743515729904175,1.4112632274627686
17,0.9753667116165161,0.08292578160762787,0.6628242135047913,1.4387054443359375
18,0.9753667116165161,0.07457789033651352,0.6714697480201721,1.4680026769638062
19,0.9773041605949402,0.06897753477096558,0.6628242135047913,1.5526808500289917
20,0.9761970639228821,0.07049496471881866,0.6714697480201721,1.536529302597046
21,0.9759202599525452,0.06948290765285492,0.6657060384750366,1.5134239196777344
22,0.9775809645652771,0.06575281172990799,0.6599423885345459,1.5558786392211914
23,0.9761970639228821,0.06775883585214615,0.6628242135047913,1.566468358039856
24,0.9778577089309692,0.061270903795957565,0.6829971075057983,1.5752625465393066
